Epoch,Iteration,Acc(R),MeanOut(R),Loss(R),Acc(F),MeanOut(F),Loss(F),Acc(Overall),
0,0,50.00,0.50,0.69,60.00,0.50,0.69,55.00,
0,1,100.00,0.53,0.64,0.00,0.53,0.76,50.00,
0,2,0.00,0.35,1.05,100.00,0.35,0.43,50.00,
0,3,100.00,0.58,0.54,0.00,0.58,0.86,50.00,
0,4,100.00,0.67,0.40,0.00,0.64,1.04,50.00,
0,5,100.00,0.55,0.59,0.00,0.56,0.82,50.00,
0,6,0.00,0.24,1.41,100.00,0.21,0.23,50.00,
0,7,10.00,0.47,0.76,100.00,0.46,0.61,55.00,
0,8,100.00,0.70,0.35,0.00,0.68,1.13,50.00,
0,9,20.00,0.47,0.77,100.00,0.48,0.65,60.00,
0,10,0.00,0.42,0.88,100.00,0.44,0.58,50.00,
